striker_id,balls_faced,dml_effect,dml_se,dml_ci_lo,dml_ci_hi,reference_batter,rae_vs_ref,rae_mean,rae_se,rae_ci_lo,rae_ci_hi,diff_dml_minus_rae,abs_diff
Batter_038,108,-0.0573731941481107,0.210625359170807,-0.470198898122892,0.355452509826671,Batter_035,-0.115806293934176,0.00836622688459963,0.154833615583642,-0.419280180478115,0.187667592609763,0.0584330997860657,0.0584330997860657
Batter_048,78,-0.0992150485408394,0.194705727156789,-0.480838273768145,0.282408176686466,Batter_035,0.10491599547622,0.229088516294995,0.211596556204956,-0.309813254685494,0.519645245637933,-0.204131044017059,0.204131044017059
Batter_002,138,-0.158735611130003,0.207232658750896,-0.56491162228176,0.247440400021753,Batter_035,-0.03902774372041,0.085144777098366,0.141917676582369,-0.317186389821853,0.239130902381033,-0.119707867409593,0.119707867409593
Batter_046,140,-0.175836000545785,0.198420158056797,-0.564739510337107,0.213067509245536,Batter_035,-0.131535127821867,-0.00736260700309127,0.135326227748496,-0.39677453420892,0.133704278565185,-0.0443008727239182,0.0443008727239182
Batter_023,79,-0.206816847923246,0.186119103594692,-0.571610290968842,0.15797659512235,Batter_035,-0.105796752347535,0.0183757684712406,0.205015224510039,-0.507626592387211,0.296033087692141,-0.101020095575711,0.101020095575711
Batter_003,153,-0.211944576477807,0.211382530794537,-0.6262543368351,0.202365183879487,Batter_035,-0.177745420586673,-0.0535728997678967,0.145380366854661,-0.462690939621809,0.107200098448463,-0.034199155891134,0.034199155891134
Batter_030,88,-0.222552433843053,0.264812296956202,-0.741584535877209,0.296479668191104,Batter_035,-0.266935367257008,-0.142762846438232,0.170359462157242,-0.600839913085203,0.0669691785711863,0.0443829334139556,0.0443829334139556
Batter_013,107,-0.223496497131421,0.21806565736423,-0.650905185565313,0.20391219130247,Batter_035,-0.113223606923826,0.0109489138949495,0.175571121041237,-0.457343004164651,0.230895790316998,-0.110272890207595,0.110272890207595
Batter_020,113,-0.230877039298621,0.292684815013137,-0.804539276724368,0.342785198127127,Batter_035,-0.222353386155781,-0.0981808653370051,0.128402516035235,-0.474022317584842,0.0293155452732801,-0.00852365314283982,0.00852365314283982
Batter_016,176,-0.240710717021838,0.123249112942533,-0.482278978389203,0.000857544345527595,Batter_035,-0.149652279835041,-0.0254797590162651,0.121727611740316,-0.38823839884606,0.0889338391759775,-0.0910584371867965,0.0910584371867965
Batter_031,73,-0.251988737741728,0.191847700456646,-0.628010230636754,0.124032755153298,Batter_035,-0.137713002354553,-0.0135404815357766,0.192833954508185,-0.515667553190596,0.240241548481491,-0.114275735387175,0.114275735387175
Batter_028,159,-0.283971983049814,0.223234532807678,-0.721511667352863,0.153567701253236,Batter_035,-0.273804770197235,-0.149632249378459,0.121567609863691,-0.512077285530068,-0.0355322548644015,-0.0101672128525786,0.0101672128525786
Batter_022,76,-0.313778396581358,0.197584692498497,-0.701044393878413,0.0734876007156967,Batter_035,-0.312898593855604,-0.188726073036828,0.157597276977019,-0.621789256730562,-0.00400793098064639,-0.000879802725754109,0.000879802725754109
Batter_024,63,-0.317853315588932,0.207465409961837,-0.724485519114133,0.0887788879362686,Batter_035,-0.3760730742572,-0.251900553438424,0.173627903512332,-0.716383765141371,-0.035762383373029,0.0582197586682676,0.0582197586682676
Batter_010,205,-0.342075088338638,0.158568306038312,-0.652868968173729,-0.0312812085035474,Batter_035,-0.280953933157325,-0.156781412338549,0.110572383925564,-0.497675805651431,-0.0642320606632194,-0.0611211551813132,0.0611211551813132
Batter_014,57,-0.370384020550372,0.244858136001241,-0.850305967112805,0.109537926012061,Batter_035,-0.31980683540415,-0.195634314585374,0.195970460424913,-0.70390893783698,0.0642952670286792,-0.0505771851462217,0.0505771851462217
Batter_017,132,-0.373502581861978,0.211838934491052,-0.78870689346444,0.0417017297404845,Batter_035,-0.332321495653075,-0.208148974834299,0.122478519513221,-0.572379393898988,-0.0922635974071621,-0.0411810862089029,0.0411810862089029
Batter_040,112,-0.427265957241935,0.194793571098088,-0.809061356594187,-0.0454705578896832,Batter_035,-0.411907133963747,-0.287734613144971,0.128574667292244,-0.663913481856545,-0.159900786070949,-0.0153588232781877,0.0153588232781877
Batter_021,72,-0.454927169345292,0.261887091659081,-0.968225868997092,0.0583715303065065,Batter_035,-0.421122397427841,-0.296949876609065,0.170169679765278,-0.754654969767786,-0.087589825087895,-0.033804771917452,0.033804771917452
Batter_045,58,-0.45530658876227,0.228134295917585,-0.902449808760737,-0.00816336876380308,Batter_035,-0.394553299847341,-0.270380779028565,0.181615709610122,-0.750520090683179,-0.0385865090115026,-0.0607532889149294,0.0607532889149294
Batter_036,65,-0.496091854725904,0.245978539475672,-0.978209792098221,-0.0139739173535872,Batter_035,-0.404058079086586,-0.27988555826781,0.179421312361885,-0.75572385131588,-0.0523923068572908,-0.0920337756393184,0.0920337756393184
Batter_018,64,-0.506216790394537,0.22267306409842,-0.942655996027441,-0.0697775847616331,Batter_035,-0.510168880245761,-0.385996359426985,0.166376706778929,-0.836267225532463,-0.18407053495906,0.00395208985122397,0.00395208985122397
Batter_039,61,-0.511684927476885,0.199528989041526,-0.902761745998276,-0.120608108955494,Batter_035,-0.635379356055515,-0.511206835236739,0.155696879187165,-0.940545239262358,-0.330213472848672,0.12369442857863,0.12369442857863
Batter_047,57,-0.554673722292375,0.198610047598906,-0.943949415586231,-0.16539802899852,Batter_035,-0.450611072496414,-0.326438551677638,0.163721556668085,-0.77150532356586,-0.129716821426967,-0.104062649795962,0.104062649795962
Batter_006,50,-0.558717193855222,0.142307560047024,-0.837640011547388,-0.279794376163055,Batter_035,-0.437876653595252,-0.313704132776476,0.183075760917142,-0.796705144992851,-0.079048162197653,-0.120840540259969,0.120840540259969
Batter_027,55,-0.584409357751473,0.187701435836497,-0.952304171991006,-0.21651454351194,Batter_035,-0.48942915692518,-0.365256636106404,0.200871403638189,-0.88313710805603,-0.09572120579433,-0.0949802008262929,0.0949802008262929
